icd_code,icd_chapter
3568,(G00-G99)
35781,(G00-G99)
35800,(G00-G99)
36272,(G00-G99)
36312,(G00-G99)
36455,(G00-G99)
36471,(G00-G99)
36489,(G00-G99)
36802,(G00-G99)
36901,(G00-G99)
37141,(G00-G99)
37231,(G00-G99)
37441,(G00-G99)
3749,(G00-G99)
37541,(G00-G99)
37724,(G00-G99)
37835,(G00-G99)
37843,(G00-G99)
37991,(G00-G99)
38081,(G00-G99)
38501,(G00-G99)
38513,(G00-G99)
38655,(G00-G99)
38903,(G00-G99)
40401,(I00-I99)
41011,(I00-I99)
41020,(I00-I99)
41091,(I00-I99)
41410,(I00-I99)
4255,(I00-I99)
4358,(I00-I99)
43831,(I00-I99)
4401,(I00-I99)
44770,(I00-I99)
4619,(J00-J99)
4650,(J00-J99)
4910,(J00-J99)
5071,(J00-J99)
51637,(J00-J99)
5253,(K00-K95)
5277,(K00-K95)
5288,(K00-K95)
53191,(K00-K95)
53270,(K00-K95)
53361,(K00-K95)
55100,(K00-K95)
56882,(K00-K95)
57401,(K00-K95)
57491,(K00-K95)
59370,(N00-N99)
5968,(N00-N99)
5992,(N00-N99)
60823,(N00-N99)
6083,(N00-N99)
6142,(N00-N99)
6210,(N00-N99)
6248,(N00-N99)
6251,(N00-N99)
6290,(N00-N99)
630,(O00-O9A)
63311,(O00-O9A)
64700,(O00-O9A)
64761,(O00-O9A)
64830,(O00-O9A)
64943,(O00-O9A)
65281,(O00-O9A)
65380,(O00-O9A)
65590,(O00-O9A)
65693,(O00-O9A)
65841,(O00-O9A)
66700,(O00-O9A)
67154,(O00-O9A)
67194,(O00-O9A)
67452,(O00-O9A)
6920,(L00-L99)
6940,(L00-L99)
70441,(L00-L99)
71111,(M00-M99)
71516,(M00-M99)
71607,(M00-M99)
71653,(M00-M99)
71660,(M00-M99)
71688,(M00-M99)
71783,(M00-M99)
71814,(M00-M99)
71897,(M00-M99)
71906,(M00-M99)
71912,(M00-M99)
71957,(M00-M99)
7283,(M00-M99)
73010,(M00-M99)
73394,(M00-M99)
73722,(M00-M99)
7387,(M00-M99)
7455,(Q00-Q99)
7566,(Q00-Q99)
75889,(Q00-Q99)
7599,(Q00-Q99)
76075,(P00-P96)
77084,(P00-P96)
7762,(P00-P96)
7764,(P00-P96)
7789,(P00-P96)
7812,(R00-R99)
78192,(R00-R99)
78720,(R00-R99)
7891,(R00-R99)
7923,(R00-R99)
7962,(R00-R99)
79675,(R00-R99)
80031,(S00-T88)
80054,(S00-T88)
80222,(S00-T88)
8028,(S00-T88)
80304,(S00-T88)
80349,(S00-T88)
80359,(S00-T88)
80472,(S00-T88)
80609,(S00-T88)
80702,(S00-T88)
8073,(S00-T88)
81011,(S00-T88)
81101,(S00-T88)
81382,(S00-T88)
8181,(S00-T88)
82310,(S00-T88)
8322,(S00-T88)
83503,(S00-T88)
83951,(S00-T88)
8413,(S00-T88)
8468,(S00-T88)
8481,(S00-T88)
85121,(S00-T88)
86132,(S00-T88)
86509,(S00-T88)
87371,(S00-T88)
87379,(S00-T88)
8770,(S00-T88)
8798,(S00-T88)
8951,(S00-T88)
9039,(S00-T88)
9107,(S00-T88)
9148,(S00-T88)
9191,(S00-T88)
92309,(S00-T88)
9390,(S00-T88)
94107,(S00-T88)
94151,(S00-T88)
94158,(S00-T88)
94255,(S00-T88)
94427,(S00-T88)
94556,(S00-T88)
94874,(S00-T88)
95215,(S00-T88)
96569,(S00-T88)
9670,(S00-T88)
96904,(S00-T88)
9692,(S00-T88)
9779,(S00-T88)
9923,(S00-T88)
99640,(S00-T88)
9989,(S00-T88)
99975,(S00-T88)
E0092,(V00-Y99)
E0103,(V00-Y99)
E0139,(V00-Y99)
E0160,(V00-Y99)
E8059,(V00-Y99)
E8140,(V00-Y99)
E8150,(V00-Y99)
E8155,(V00-Y99)
E8216,(V00-Y99)
E8234,(V00-Y99)
E8303,(V00-Y99)
E8307,(V00-Y99)
E8329,(V00-Y99)
E8375,(V00-Y99)
E8408,(V00-Y99)
E8616,(V00-Y99)
E8669,(V00-Y99)
E8733,(V00-Y99)
E8760,(V00-Y99)
E8844,(V00-Y99)
E9029,(V00-Y99)
E9133,(V00-Y99)
E9194,(V00-Y99)
E9288,(V00-Y99)
E9295,(V00-Y99)
E9311,(V00-Y99)
E9315,(V00-Y99)
E9327,(V00-Y99)
E9346,(V00-Y99)
E9394,(V00-Y99)
E9422,(V00-Y99)
E9500,(V00-Y99)
E9502,(V00-Y99)
E9620,(V00-Y99)
E9689,(V00-Y99)
E9838,(V00-Y99)
E9855,(V00-Y99)
E9933,(V00-Y99)
V0171,(Z00-Z99)
V036,(Z00-Z99)
V0980,(Z00-Z99)
V1042,(Z00-Z99)
V114,(Z00-Z99)
V137,(Z00-Z99)
V161,(Z00-Z99)
V258,(Z00-Z99)
V322,(Z00-Z99)
V3500,(Z00-Z99)
V427,(Z00-Z99)
V8909,(Z00-Z99)
V51,(Z00-Z99)
V5359,(Z00-Z99)
V7182,(Z00-Z99)
V7212,(Z00-Z99)
V7269,(Z00-Z99)
V735,(Z00-Z99)
V7646,(Z00-Z99)
V792,(Z00-Z99)
